dataset,input,output
CreditKarma,"description='Capital One Savor Cash Rewards for Good Credit Great for high cash back rates Earn unlimited 3% cash back at grocery stores (excluding superstores like Walmart® and Target®), on dining, entertainment and popular streaming services, plus 1% on all other purchases Earn 8% cash back on Capital One Entertainment purchases Rewards rate 1% - 8% Cash back Annual fee $0 Earn unlimited 3% cash back at grocery stores (excluding superstores like Walmart® and Target®), on dining, entertainment and popular streaming services, plus 1% on all other purchases Earn 8% cash back on Capital One Entertainment purchases'","{""name"":""Capital One SavorOne Cash Rewards"",""issuer"":""Capital One"",""reward_category_map"":[{""category"":""groceries"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""entertainment"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""software"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""shopping"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":8,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""price protection"",""purchase protection"",""no foreign transaction fees""],""credit_needed"":[""Good""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":25.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":500,""timeframe"":3,""reward_type"":""American Express Membership Rewards"",""reward_amount"":15000}],""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Rewards-focused"",""No Annual Fee"",""Cashback""]}"
CreditKarma,description='Upgrade Unlimited Cash Rewards Visa® Great for a personal loan alternative Earn a $200 bonus after opening a Rewards Checking Plus account and making 3 debit card transactions* Earn 1% unlimited cash back on card purchases when you make payments Rewards rate 1% Cash back Annual fee $0 Welcome bonus $200 Earn a $200 bonus after opening a Rewards Checking Plus account and making 3 debit card transactions * Earn 1% unlimited cash back on card purchases when you make payments',"{""name"":""Upgrade Unlimited Cash Rewards Visa"",""issuer"":""Barclays"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""purchase protection""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":29.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":0,""timeframe"":1,""reward_type"":""Statement Credit USD"",""reward_amount"":200}],""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[{""credit_amount"":200,""unit"":""Statement Credit USD"",""categories"":[""general""],""vendors"":[],""timeframe_months"":1,""max_uses"":1,""description"":""Earn a $200 bonus after opening a Rewards Checking Plus account and making 3 debit card transactions""}],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Low APR"",""No Annual Fee"",""Cashback"",""Personal""]}"
CreditKarma,"description='World Of Hyatt Credit Card Great for frequent Hyatt guests Earn up to 60,000 Bonus Points. Earn 30,000 Bonus Points after you spend $3,000 on purchases in your first 3 months from account opening. Plus, up to 30,000 More Bonus Points by earning 2 Bonus Points total per $1 spent in the first 6 months from account opening on purchases that normally earn 1 Bonus Point, on up to $15,000 spent. Enjoy complimentary World of Hyatt Discoverist status for as long as your account is open. Rewards rate 2x - 9x Points per dollar Annual fee $95 Welcome bonus Up to 60,000 Points Earn up to 60,000 Bonus Points. Earn 30,000 Bonus Points after you spend $3,000 on purchases in your first 3 months from account opening. Plus, up to 30,000 More Bonus Points by earning 2 Bonus Points total per $1 spent in the first 6 months from account opening on purchases that normally earn 1 Bonus Point, on up to $15,000 spent. Enjoy complimentary World of Hyatt Discoverist status for as long as your account is open.'","{""name"":""World of Hyatt Credit Card"",""issuer"":""Chase"",""reward_category_map"":[{""category"":""accommodation"",""reward_unit"":""World of Hyatt Points"",""reward_amount"":9,""reward_threshold"":null},{""category"":""dining"",""reward_unit"":""World of Hyatt Points"",""reward_amount"":2,""reward_threshold"":null},{""category"":""transportation"",""reward_unit"":""World of Hyatt Points"",""reward_amount"":2,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""World of Hyatt Points"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""purchase protection"",""travel insurance"",""rental car insurance"",""priority boarding"",""free checked bags"",""no foreign transaction fees""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":20.99,""apr_type"":""Purchase""},{""apr"":29.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":3000,""timeframe"":3,""reward_type"":""World of Hyatt Points"",""reward_amount"":30000},{""purchase_type"":""general"",""condition_amount"":15000,""timeframe"":6,""reward_type"":""World of Hyatt Points"",""reward_amount"":30000}],""annual_fee"":{""fee_usd"":95,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""World of Hyatt Points"",""keywords"":[""Travel"",""Rewards-focused"",""Hotel"",""Luxury""]}"
CreditKarma,"description='Merrick Bank Mastercard® See if you are Pre-Qualified in less than 60 seconds without harming your credit score Initial Credit Line $300 - $900, Doubling to $600 - $1,800 Regular purchase APR 29.70%* Variable Annual fee $48 - $72 See if you are Pre-Qualified in less than 60 seconds without harming your credit score Initial Credit Line $300 - $900, Doubling to $600 - $1,800'","{""name"":""Merrick Bank Mastercard®"",""issuer"":""HSBC"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""purchase protection""],""credit_needed"":[""Fair""],""apr"":[{""apr"":29.7,""apr_type"":""Purchase""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":60,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Personal"",""Cashback"",""Low APR"",""No Annual Fee""]}"
CreditKarma,"description=""Bank of America® Travel Rewards credit card for Students Great for students who fly Earn unlimited 1.5 points per $1 spent on all purchases, with no annual fee and no foreign transaction fees and your points don't expire as long as your account remains open. 25,000 online bonus points after you make at least $1,000 in purchases in the first 90 days of account opening - that can be a $250 statement credit toward travel purchases. Rewards rate 1.5x Points per dollar Annual fee $0 Welcome bonus 25,000 Points Editors' bonus estimate up to $250 Earn unlimited 1.5 points per $1 spent on all purchases, with no annual fee and no foreign transaction fees and your points don't expire as long as your account remains open. 25,000 online bonus points after you make at least $1,000 in purchases in the first 90 days of account opening - that can be a $250 statement credit toward travel purchases.""","{""name"":""Bank of America® Travel Rewards Credit Card for Students"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Bank of America Preferred Rewards"",""reward_amount"":1.5,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees""],""credit_needed"":[""Good"",""Fair""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":24.99,""apr_type"":""Cash Advance""},{""apr"":19.99,""apr_type"":""Balance Transfer""},{""apr"":29.99,""apr_type"":""Penalty""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":1000,""timeframe"":3,""reward_type"":""Bank of America Preferred Rewards"",""reward_amount"":25000}],""annual_fee"":null,""statement_credit"":[{""credit_amount"":250,""unit"":""Statement Credit USD"",""categories"":[],""vendors"":[],""timeframe_months"":12,""max_uses"":1,""description"":""$250 statement credit toward travel purchases after 25,000 points earned as sign-up bonus.""}],""primary_reward_unit"":""Bank of America Preferred Rewards"",""keywords"":[""Travel"",""Rewards-focused"",""No Annual Fee"",""Student""]}"
CreditKarma,"description='Upgrade Life Rewards Visa® Great for rewards on everyday expenses 3% on Gas, Grocery, Health, Streaming, and Utilities, 1% cash back on payments for everything else (Target and Walmart earn 1%) Earn a $200 bonus after opening a Rewards Checking Plus account and making 3 debit card transactions* Rewards rate 1% - 3% Cash back Annual fee $0 Welcome bonus $200 3% on Gas, Grocery, Health, Streaming, and Utilities, 1% cash back on payments for everything else (Target and Walmart earn 1%) Earn a $200 bonus after opening a Rewards Checking Plus account and making 3 debit card transactions *'","{""name"":""Life Rewards Visa®"",""issuer"":""US Bank"",""reward_category_map"":[{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""groceries"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""health"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""entertainment"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""utilities"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null},{""category"":""Target"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null},{""category"":""Walmart"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""price protection"",""extended warranty"",""purchase protection""],""credit_needed"":[""Good"",""Fair""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":24.99,""apr_type"":""Cash Advance""},{""apr"":21.99,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":0,""timeframe"":0,""reward_type"":""Statement Credit USD"",""reward_amount"":200}],""annual_fee"":null,""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Rewards-focused"",""Cashback"",""No Annual Fee""]}"
CreditKarma,"description='Avant Cash Back Rewards Card Great for straightforward rewards 1% Unlimited Cash Back on Every Purchase, Everywhere MasterCard is accepted No Limit On The Monthly Rewards You Can Earn Rewards rate 1% Cash back Annual fee $0 1% Unlimited Cash Back on Every Purchase, Everywhere MasterCard is accepted No Limit On The Monthly Rewards You Can Earn'","{""name"":""Avant Cash Back Rewards Card"",""issuer"":""HSBC"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""price protection""],""credit_needed"":[""Good"",""Fair""],""apr"":[{""apr"":27.24,""apr_type"":""Purchase""},{""apr"":29.24,""apr_type"":""Cash Advance""},{""apr"":27.24,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Personal"",""Cashback"",""No Annual Fee""]}"
CreditKarma,"description='Petal® 1 Visa® Credit Card Great for no annual fee No annual fee, and no security deposit required 2-10% cash back at select local and national merchants Rewards rate 2% - 10% Cash back Annual fee $0 No annual fee, and no security deposit required 2-10% cash back at select local and national merchants'","{""name"":""Petal® 1 Visa® Credit Card"",""issuer"":""Capital One"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1.5,""reward_threshold"":null}],""benefits"":[""purchase protection"",""price protection""],""credit_needed"":[""Good"",""Fair""],""apr"":[{""apr"":24.99,""apr_type"":""Purchase""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Personal"",""Rewards-focused"",""No Annual Fee"",""Cashback""]}"
CreditKarma,description='Petal® 1 Rise Visa® Credit Card Great for access to unsecured credit No security deposit required 2-10% cash back at select local and national merchants Rewards rate 2% - 10% Cash back Annual fee $59 No security deposit required 2-10% cash back at select local and national merchants',"{""name"":""Petal® 1 Rise Visa® Credit Card"",""issuer"":""Barclays"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":10,""reward_threshold"":{""on_up_to_purchase_amount_usd"":1000,""per_timeframe_num_months"":1,""fallback_reward_amount"":2}},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null},{""category"":""groceries"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees"",""purchase protection""],""credit_needed"":[""Fair"",""Good""],""apr"":[{""apr"":24.99,""apr_type"":""Purchase""},{""apr"":29.99,""apr_type"":""Cash Advance""},{""apr"":24.99,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":59,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Personal"",""Cashback"",""No Annual Fee"",""Low APR""]}"
CreditKarma,"description=""United Gateway℠ Card Great for United rewards with no annual fee Earn 20,000 bonus miles No annual fee Rewards rate 1x - 2x Miles per dollar Annual fee $0 Welcome bonus 20,000 Miles Editors' bonus estimate up to $426 Earn 20,000 bonus miles No annual fee""","{""name"":""United Gateway℠ Card"",""issuer"":""Chase"",""reward_category_map"":[{""category"":""groceries"",""reward_unit"":""United MileagePlus"",""reward_amount"":2,""reward_threshold"":null},{""category"":""dining"",""reward_unit"":""United MileagePlus"",""reward_amount"":2,""reward_threshold"":null},{""category"":""transportation"",""reward_unit"":""United MileagePlus"",""reward_amount"":2,""reward_threshold"":null},{""category"":""general"",""reward_unit"":""United MileagePlus"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""rental car insurance"",""no foreign transaction fees""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":21,""apr_type"":""Purchase""},{""apr"":23,""apr_type"":""Balance Transfer""},{""apr"":26,""apr_type"":""Cash Advance""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":1000,""timeframe"":3,""reward_type"":""United MileagePlus"",""reward_amount"":20000}],""annual_fee"":{""fee_usd"":0,""waived_for"":1},""statement_credit"":[],""primary_reward_unit"":""United MileagePlus"",""keywords"":[""Travel"",""No Annual Fee"",""Airline"",""Rewards-focused""]}"
CreditKarma,"description='First Latitude Assent Mastercard® Secured Credit Card Great for building credit Choose the First Latitude Assent Card and enjoy $0 Annual Fee! Secure your credit line with your refundable security deposit – choose from $200- $2,000. With the ability to increase up to $5,000 over time! Min. deposit $200 Refundable Regular purchase APR 28.74%* Variable Annual fee $0 Rewards rate 1% Cash back Choose the First Latitude Assent Card and enjoy $0 Annual Fee! Secure your credit line with your refundable security deposit – choose from $200- $2,000. With the ability to increase up to $5,000 over time!'","{""name"":""First Latitude Assent Mastercard® Secured Credit Card"",""issuer"":""HSBC"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees"",""purchase protection"",""rental car insurance""],""credit_needed"":[""Fair"",""Bad""],""apr"":[{""apr"":28.74,""apr_type"":""Purchase""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Secured"",""Low APR"",""Cashback"",""No Annual Fee""]}"
CreditKarma,"description='Credit One Bank® Platinum Visa® Great for automatic credit limit increases Earn 1% cash back rewards on eligible gas, grocery purchases and mobile phone service, internet, cable and satellite TV services, terms apply With $0 Fraud Liability, you won’t be responsible for unauthorized charges Rewards rate 1% Cash back Annual fee $39 Earn 1% cash back rewards on eligible gas, grocery purchases and mobile phone service, internet, cable and satellite TV services, terms apply With $0 Fraud Liability, you won’t be responsible for unauthorized charges'","{""name"":""Credit One Bank® Platinum Visa®"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null},{""category"":""groceries"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null},{""category"":""utilities"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""extended warranty"",""purchase protection""],""credit_needed"":[""Fair""],""apr"":[{""apr"":25.49,""apr_type"":""Purchase""},{""apr"":29.49,""apr_type"":""Cash Advance""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":39,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Cashback"",""Low APR"",""No Annual Fee"",""Grocery"",""Gas"",""Rewards-focused""]}"
CreditKarma,"description='Bank of America® Unlimited Cash Rewards credit card for Students Great for simple cash back $200 online cash rewards bonus after you make at least $1,000 in purchases in the first 90 days of account opening. Earn unlimited 1.5% cash back on all purchases. Rewards rate 1.5% Cash back Annual fee $0 Welcome bonus $200 $200 online cash rewards bonus after you make at least $1,000 in purchases in the first 90 days of account opening. Earn unlimited 1.5% cash back on all purchases.'","{""name"":""Bank of America® Unlimited Cash Rewards for Students"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1.5,""reward_threshold"":null}],""benefits"":[""no foreign transaction fees"",""purchase protection"",""extended warranty""],""credit_needed"":[""Good"",""Fair""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":24.99,""apr_type"":""Cash Advance""},{""apr"":19.99,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":1000,""timeframe"":3,""reward_type"":""Statement Credit USD"",""reward_amount"":200}],""annual_fee"":null,""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Student"",""Cashback"",""No Annual Fee"",""Rewards-focused""]}"
CreditKarma,"description=""PayPal Cashback Mastercard® Great for PayPal purchases Apply with no impact to your credit score if you're declined.² Earn 3% cash back³ on PayPal purchases and 1.5% on all other purchases. Purchases are subject to credit approval, and the PayPal Cashback Mastercard must be used for payment. Rewards rate 1.5% - 3% Cash back Annual fee $0 Apply with no impact to your credit score if you're declined.² Earn 3% cash back³ on PayPal purchases and 1.5% on all other purchases. Purchases are subject to credit approval, and the PayPal Cashback Mastercard must be used for payment.""","{""name"":""PayPal Cashback Mastercard"",""issuer"":""Barclays"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1.5,""reward_threshold"":null},{""category"":""shopping"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":3,""reward_threshold"":null}],""benefits"":[""extended warranty"",""price protection"",""purchase protection"",""return protection""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":29.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Cashback"",""No Annual Fee"",""Rewards-focused"",""Personal"",""Low APR""]}"
CreditKarma,description='Yendo Vehicle Equity Mastercard® Great for a car title loan alternative Yendo works like a regular Mastercard but taps into your vehicle equity to get higher limits at low rates. Submit an application with photos of your vehicle and receive an instant offer Regular purchase APR 29.88% fixed Annual fee $40 Yendo works like a regular Mastercard but taps into your vehicle equity to get higher limits at low rates. Submit an application with photos of your vehicle and receive an instant offer',"{""name"":""Yendo Vehicle Equity Mastercard"",""issuer"":""Citi"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1.5,""reward_threshold"":null}],""benefits"":[""rental car insurance"",""price protection"",""extended warranty""],""credit_needed"":[""Fair"",""Good""],""apr"":[{""apr"":29.88,""apr_type"":""Purchase""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":40,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Low APR"",""Cashback"",""Balance Transfer""]}"
CreditKarma,"description='Citi Custom Cash® Card Great for flexible cash back Earn $200 cash back after you spend $1,500 on purchases in the first 6 months of account opening. This bonus offer will be fulfilled as 20,000 ThankYou® Points, which can be redeemed for $200 cash back. 0% Intro APR on balance transfers and purchases for 15 months. After that, the variable APR will be 18.74% - 28.74%, based on your creditworthiness. Rewards rate 1% - 5% Cash back Annual fee $0 Welcome bonus $200 Earn $200 cash back after you spend $1,500 on purchases in the first 6 months of account opening. This bonus offer will be fulfilled as 20,000 ThankYou® Points, which can be redeemed for $200 cash back. 0% Intro APR on balance transfers and purchases for 15 months. After that, the variable APR will be 18.74% - 28.74%, based on your creditworthiness.'","{""name"":""Citi Custom Cash® Card"",""issuer"":""Citi"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Citi ThankYou Points"",""reward_amount"":1,""reward_threshold"":null},{""category"":""shopping"",""reward_unit"":""Citi ThankYou Points"",""reward_amount"":5,""reward_threshold"":{""on_up_to_purchase_amount_usd"":500,""per_timeframe_num_months"":1,""fallback_reward_amount"":1}},{""category"":""groceries"",""reward_unit"":""Citi ThankYou Points"",""reward_amount"":5,""reward_threshold"":{""on_up_to_purchase_amount_usd"":500,""per_timeframe_num_months"":1,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""Citi ThankYou Points"",""reward_amount"":5,""reward_threshold"":{""on_up_to_purchase_amount_usd"":500,""per_timeframe_num_months"":1,""fallback_reward_amount"":1}},{""category"":""transportation"",""reward_unit"":""Citi ThankYou Points"",""reward_amount"":5,""reward_threshold"":{""on_up_to_purchase_amount_usd"":500,""per_timeframe_num_months"":1,""fallback_reward_amount"":1}}],""benefits"":[""price protection"",""purchase protection"",""extended warranty"",""rental car insurance""],""credit_needed"":[""Excellent"",""Good""],""apr"":[{""apr"":0,""apr_type"":""Promotional""},{""apr"":18.74,""apr_type"":""Purchase""},{""apr"":28.74,""apr_type"":""Purchase""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":1500,""timeframe"":6,""reward_type"":""Citi ThankYou Points"",""reward_amount"":20000}],""annual_fee"":null,""statement_credit"":[],""primary_reward_unit"":""Citi ThankYou Points"",""keywords"":[""Personal"",""Cashback"",""Rewards-focused"",""No Annual Fee"",""Balance Transfer""]}"
CreditKarma,"description=""Wells Fargo Reflect® Card Great for long intro APR periods Approval odds are statements made by Credit Karma and may not reflect Wells Fargo's underwriting criteria. Select “Continue” to take advantage of this specific offer and learn more about product features, terms and conditions. Intro balance transfer APR 0% intro APR for 21 months from account opening on qualifying balance transfers Regular balance transfer APR 17.74%, 24.24%, or 29.49% Variable APR Balance transfer fee 5%, Min: $5 Annual fee $0 Approval odds are statements made by Credit Karma and may not reflect Wells Fargo's underwriting criteria. Select “Continue” to take advantage of this specific offer and learn more about product features, terms and conditions.""","{""name"":""Wells Fargo Reflect® Card"",""issuer"":""Wells Fargo"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1.0,""reward_threshold"":null}],""benefits"":[""extended return period"",""no foreign transaction fees"",""travel assistance services""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":17.74,""apr_type"":""Balance Transfer""},{""apr"":24.24,""apr_type"":""Balance Transfer""},{""apr"":29.49,""apr_type"":""Balance Transfer""},{""apr"":17.74,""apr_type"":""Purchase""},{""apr"":24.24,""apr_type"":""Purchase""},{""apr"":29.49,""apr_type"":""Purchase""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":0,""waived_for"":1},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Balance Transfer"",""Low APR"",""No Annual Fee""]}"
CreditKarma,"description='Destiny Mastercard Cashback Rewards with a Higher Credit Limit Great for straightforward rewards Apply with Confidence! There is no impact to your credit score if you’re not approved. If your application is not approved, a hard inquiry will not appear on your credit report, which means your credit score will not be impacted. Access credit immediately through a mobile wallet. Identity authentication required. See application for additional details. Rewards rate 1% Cash back Annual fee $125 Apply with Confidence! There is no impact to your credit score if you’re not approved. If your application is not approved, a hard inquiry will not appear on your credit report, which means your credit score will not be impacted. Access credit immediately through a mobile wallet. Identity authentication required. See application for additional details.'","{""name"":""Destiny Mastercard Cashback Rewards"",""issuer"":""Bank of America"",""reward_category_map"":[{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""purchase protection"",""rental car insurance""],""credit_needed"":[""Fair"",""Good""],""apr"":[{""apr"":24.99,""apr_type"":""Purchase""},{""apr"":27.99,""apr_type"":""Cash Advance""}],""sign_on_bonus"":null,""annual_fee"":{""fee_usd"":125,""waived_for"":0},""statement_credit"":[],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Personal"",""Cashback"",""High Limit"",""No Annual Fee""]}"
CreditKarma,"description='Discover it® Chrome Great for gas and restaurants INTRO OFFER: Unlimited Cashback Match for all new cardmembers–only from Discover. Discover will automatically match all the cash back you’ve earned at the end of your first year! There’s no minimum spending or maximum rewards. Just a dollar-for-dollar match. Earn 2% cash back at Gas Stations and Restaurants on up to $1,000 in combined purchases each quarter, automatically. Plus earn unlimited 1% cash back on all other purchases. Rewards rate 1% - 2% Cash back Annual fee $0 INTRO OFFER: Unlimited Cashback Match for all new cardmembers–only from Discover. Discover will automatically match all the cash back you’ve earned at the end of your first year! There’s no minimum spending or maximum rewards. Just a dollar-for-dollar match. Earn 2% cash back at Gas Stations and Restaurants on up to $1,000 in combined purchases each quarter, automatically. Plus earn unlimited 1% cash back on all other purchases.'","{""name"":""Discover it® Chrome"",""issuer"":""Discover"",""reward_category_map"":[{""category"":""fuel"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":{""on_up_to_purchase_amount_usd"":1000,""per_timeframe_num_months"":3,""fallback_reward_amount"":1}},{""category"":""dining"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":2,""reward_threshold"":{""on_up_to_purchase_amount_usd"":1000,""per_timeframe_num_months"":3,""fallback_reward_amount"":1}},{""category"":""general"",""reward_unit"":""Percent Cashback USD"",""reward_amount"":1,""reward_threshold"":null}],""benefits"":[""price protection"",""purchase protection""],""credit_needed"":[""Good"",""Excellent""],""apr"":[{""apr"":19.99,""apr_type"":""Purchase""},{""apr"":26.99,""apr_type"":""Cash Advance""},{""apr"":19.99,""apr_type"":""Balance Transfer""}],""sign_on_bonus"":[{""purchase_type"":""general"",""condition_amount"":0,""timeframe"":12,""reward_type"":""Statement Credit USD"",""reward_amount"":1}],""annual_fee"":{""fee_usd"":0,""waived_for"":0},""statement_credit"":[{""credit_amount"":1,""unit"":""Percent Cashback USD"",""categories"":[""general""],""vendors"":[],""timeframe_months"":12,""max_uses"":1,""description"":""Unlimited Cashback Match for all new cardmembers—Discover will match all cashback earned at the end of your first year.""}],""primary_reward_unit"":""Percent Cashback USD"",""keywords"":[""Cashback"",""No Annual Fee"",""Rewards-focused""]}"
